arm	gene	gene_pairs	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
AEG-homozygous	A	8	8	15	56160	56152	0	8	8	8	8	8	8	8
AEG-homozygous	ALL	64	64472	57	948312	952496	15154	45342	63	60	63	60	62	55
AEG-homozygous	B	8	1540	8	63900	65365	56	82	8	8	8	8	8	6
AEG-homozygous	C	8	220	12	68684	68883	0	12	7	7	7	7	7	7
AEG-homozygous	DPA1	8	9434	5	147308	156633	216	285	8	7	8	8	8	6
AEG-homozygous	DPB1	8	341	8	183866	183858	330	341	8	8	8	8	8	8
AEG-homozygous	DQA1	8	3823	9	102079	103614	2186	2257	8	8	8	8	8	8
AEG-homozygous	DQB1	8	6650	0	114269	119893	6260	6550	8	8	8	8	8	8
AEG-homozygous	DRB1	8	42456	0	212046	198098	6106	35807	8	6	8	5	7	4
AG-homozygous	A	8	8	15	56160	56152	0	8	8	8	8	8	8	8
AG-homozygous	ALL	64	64456	53	948312	952496	15154	45319	63	60	63	60	62	54
AG-homozygous	B	8	1541	7	63900	65365	56	83	8	8	8	8	8	6
AG-homozygous	C	8	220	12	68684	68883	0	12	7	7	7	7	7	7
AG-homozygous	DPA1	8	9403	2	147308	156633	216	255	8	7	8	8	8	5
AG-homozygous	DPB1	8	339	8	183866	183858	330	339	8	8	8	8	8	8
AG-homozygous	DQA1	8	3823	9	102079	103614	2186	2257	8	8	8	8	8	8
AG-homozygous	DQB1	8	6650	0	114269	119893	6260	6550	8	8	8	8	8	8
AG-homozygous	DRB1	8	42472	0	212046	198098	6106	35815	8	6	8	5	7	4
